Date,Median Days To Close,RegionID,RegionName,RegionType,SizeRank,StateName
2019-01-31,,394478,"Clovis, NM",msa,615,NM
2019-02-28,,394478,"Clovis, NM",msa,615,NM
2019-03-31,,394478,"Clovis, NM",msa,615,NM
2019-04-30,,394478,"Clovis, NM",msa,615,NM
2019-05-31,,394478,"Clovis, NM",msa,615,NM
2019-06-30,,394478,"Clovis, NM",msa,615,NM
2019-07-31,,394478,"Clovis, NM",msa,615,NM
2019-08-31,,394478,"Clovis, NM",msa,615,NM
2019-09-30,,394478,"Clovis, NM",msa,615,NM
2019-10-31,,394478,"Clovis, NM",msa,615,NM
2019-11-30,,394478,"Clovis, NM",msa,615,NM
2019-12-31,,394478,"Clovis, NM",msa,615,NM
2020-01-31,,394478,"Clovis, NM",msa,615,NM
2020-02-29,,394478,"Clovis, NM",msa,615,NM
2020-03-31,,394478,"Clovis, NM",msa,615,NM
2020-04-30,,394478,"Clovis, NM",msa,615,NM
2020-05-31,,394478,"Clovis, NM",msa,615,NM
2020-06-30,,394478,"Clovis, NM",msa,615,NM
2020-07-31,,394478,"Clovis, NM",msa,615,NM
2020-08-31,,394478,"Clovis, NM",msa,615,NM
2020-09-30,,394478,"Clovis, NM",msa,615,NM
2020-10-31,,394478,"Clovis, NM",msa,615,NM
2020-11-30,,394478,"Clovis, NM",msa,615,NM
2020-12-31,,394478,"Clovis, NM",msa,615,NM
2021-01-31,,394478,"Clovis, NM",msa,615,NM
2021-02-28,,394478,"Clovis, NM",msa,615,NM
2021-03-31,,394478,"Clovis, NM",msa,615,NM
2021-04-30,,394478,"Clovis, NM",msa,615,NM
2021-05-31,,394478,"Clovis, NM",msa,615,NM
2021-06-30,,394478,"Clovis, NM",msa,615,NM
2021-07-31,,394478,"Clovis, NM",msa,615,NM
2021-08-31,,394478,"Clovis, NM",msa,615,NM
2021-09-30,,394478,"Clovis, NM",msa,615,NM
2021-10-31,,394478,"Clovis, NM",msa,615,NM
2021-11-30,,394478,"Clovis, NM",msa,615,NM
2021-12-31,,394478,"Clovis, NM",msa,615,NM
2022-01-31,,394478,"Clovis, NM",msa,615,NM
2022-02-28,,394478,"Clovis, NM",msa,615,NM
2022-03-31,,394478,"Clovis, NM",msa,615,NM
2022-04-30,,394478,"Clovis, NM",msa,615,NM
2022-05-31,,394478,"Clovis, NM",msa,615,NM
2022-06-30,,394478,"Clovis, NM",msa,615,NM
2022-07-31,,394478,"Clovis, NM",msa,615,NM
2022-08-31,,394478,"Clovis, NM",msa,615,NM
2022-09-30,,394478,"Clovis, NM",msa,615,NM
2022-10-31,,394478,"Clovis, NM",msa,615,NM
2022-11-30,,394478,"Clovis, NM",msa,615,NM
2022-12-31,,394478,"Clovis, NM",msa,615,NM
2023-01-31,,394478,"Clovis, NM",msa,615,NM
2023-02-28,,394478,"Clovis, NM",msa,615,NM
2023-03-31,,394478,"Clovis, NM",msa,615,NM
2023-04-30,,394478,"Clovis, NM",msa,615,NM
2023-05-31,,394478,"Clovis, NM",msa,615,NM
2023-06-30,,394478,"Clovis, NM",msa,615,NM
2023-07-31,,394478,"Clovis, NM",msa,615,NM
2023-08-31,,394478,"Clovis, NM",msa,615,NM
2023-09-30,,394478,"Clovis, NM",msa,615,NM
2023-10-31,,394478,"Clovis, NM",msa,615,NM
2023-11-30,,394478,"Clovis, NM",msa,615,NM
2023-12-31,,394478,"Clovis, NM",msa,615,NM
2024-01-31,,394478,"Clovis, NM",msa,615,NM
2024-02-29,,394478,"Clovis, NM",msa,615,NM
2024-03-31,,394478,"Clovis, NM",msa,615,NM
2024-04-30,27.0,394478,"Clovis, NM",msa,615,NM
2024-05-31,27.0,394478,"Clovis, NM",msa,615,NM
2024-06-30,30.0,394478,"Clovis, NM",msa,615,NM
2024-07-31,37.0,394478,"Clovis, NM",msa,615,NM
2024-08-31,37.0,394478,"Clovis, NM",msa,615,NM
2018-03-31,,394919,"Norfolk, NE",msa,616,NE
2018-04-30,,394919,"Norfolk, NE",msa,616,NE
2018-05-31,,394919,"Norfolk, NE",msa,616,NE
2018-06-30,,394919,"Norfolk, NE",msa,616,NE
2018-07-31,,394919,"Norfolk, NE",msa,616,NE
2018-08-31,,394919,"Norfolk, NE",msa,616,NE
2018-09-30,,394919,"Norfolk, NE",msa,616,NE
2018-10-31,,394919,"Norfolk, NE",msa,616,NE
2018-11-30,,394919,"Norfolk, NE",msa,616,NE
2018-12-31,,394919,"Norfolk, NE",msa,616,NE
2019-01-31,,394919,"Norfolk, NE",msa,616,NE
2019-02-28,,394919,"Norfolk, NE",msa,616,NE
2019-03-31,,394919,"Norfolk, NE",msa,616,NE
2019-04-30,,394919,"Norfolk, NE",msa,616,NE
2019-05-31,,394919,"Norfolk, NE",msa,616,NE
2019-06-30,,394919,"Norfolk, NE",msa,616,NE
2019-07-31,,394919,"Norfolk, NE",msa,616,NE
2019-08-31,,394919,"Norfolk, NE",msa,616,NE
2019-09-30,,394919,"Norfolk, NE",msa,616,NE
2019-10-31,,394919,"Norfolk, NE",msa,616,NE
2019-11-30,,394919,"Norfolk, NE",msa,616,NE
2019-12-31,,394919,"Norfolk, NE",msa,616,NE
2020-01-31,,394919,"Norfolk, NE",msa,616,NE
2020-02-29,,394919,"Norfolk, NE",msa,616,NE
2020-03-31,,394919,"Norfolk, NE",msa,616,NE
2020-04-30,,394919,"Norfolk, NE",msa,616,NE
2020-05-31,,394919,"Norfolk, NE",msa,616,NE
2020-06-30,,394919,"Norfolk, NE",msa,616,NE
2020-07-31,,394919,"Norfolk, NE",msa,616,NE
2020-08-31,,394919,"Norfolk, NE",msa,616,NE
2020-09-30,,394919,"Norfolk, NE",msa,616,NE
2020-10-31,,394919,"Norfolk, NE",msa,616,NE
2020-11-30,,394919,"Norfolk, NE",msa,616,NE
2020-12-31,,394919,"Norfolk, NE",msa,616,NE
2021-01-31,,394919,"Norfolk, NE",msa,616,NE
2021-02-28,,394919,"Norfolk, NE",msa,616,NE
2021-03-31,,394919,"Norfolk, NE",msa,616,NE
2021-04-30,,394919,"Norfolk, NE",msa,616,NE
2021-05-31,,394919,"Norfolk, NE",msa,616,NE
2021-06-30,,394919,"Norfolk, NE",msa,616,NE
2021-07-31,,394919,"Norfolk, NE",msa,616,NE
2021-08-31,,394919,"Norfolk, NE",msa,616,NE
